level_strict3,locale_simple,reason,start_year,end_year,start_rate,end_rate,abs_change,pct_change,log_change,direction
Elementary,City,Willful Defiance,2017-18,2023-24,6.623113204101461e-4,6.569570321537622e-5,-5.966156171947699e-4,NA,-2.3107021946349104,Decrease
Alternative,City,Weapons,2017-18,2023-24,0.0016963760482646346,0.001102068497795863,-5.943075504687716e-4,-0.3503395081985145,-0.43130537285463,Decrease
Elementary,Suburban,Violent (Injury),2017-18,2023-24,0.00254201927911928,0.003123216626591754,5.811973474724738e-4,0.22863608952400952,0.20590468382710064,Increase
Other/Unknown,Unknown,Other,2017-18,2023-24,0.002012912094655964,0.0014783096294030689,-5.346024652528951e-4,-0.26558659301228277,-0.30868318414026036,Decrease
Alternative,Suburban,Other,2017-18,2023-24,0.003129811027085554,0.0036534790336383385,5.236680065527845e-4,0.1673161740504245,0.15470724553047877,Increase
Other/Unknown,Suburban,Other,2017-18,2023-24,0.002072877240204798,0.0015787847081296241,-4.940925320751741e-4,-0.2383607299515519,-0.27228223427067116,Decrease
Middle,Suburban,Illicit Drug,2017-18,2023-24,0.00422271868192479,0.004712808467803435,4.900897858786443e-4,0.11606024999402816,0.10980484995169533,Increase
Alternative,City,Violent (Injury),2017-18,2023-24,0.004500868708702136,0.0049875664066915334,4.8669769798939753e-4,0.10813416908793613,0.10267767222873965,Increase
Middle,Rural,Weapons,2017-18,2023-24,0.001793678960241715,0.0013173090804099899,-4.763698798317252e-4,-0.265582576587468,-0.30867771526701543,Decrease
Other/Unknown,Rural,Illicit Drug,2017-18,2023-24,0.010121084226269745,0.0105966179167827,4.755336905129543e-4,0.04698446133653196,0.04591409064792721,Increase
Elementary,Town,Weapons,2017-18,2023-24,0.0015298228534673087,0.001076046826589488,-4.5377602687782063e-4,-0.2966199817510554,-0.35185796672570024,Decrease
Elementary,Rural,Violent (Injury),2017-18,2023-24,0.005959733201581028,0.005531518703105318,-4.2821449847571004e-4,-0.07185128662506421,-0.07456330755322173,Decrease
Elementary,Suburban,Other,2017-18,2023-24,8.088243160834074e-4,3.892081881761895e-4,-4.1961612790721785e-4,NA,-0.7314673430802786,Decrease
Middle,Rural,Violent (Injury),2017-18,2023-24,0.00968778475852477,0.00929334488234445,-3.944398761803209e-4,-0.04071517751601917,-0.04156724873238878,Decrease
Other/Unknown,Rural,Violent (No Injury),2017-18,2023-24,0.02778688356655535,0.02817442407597684,3.875405094214898e-4,0.013946886432703039,0.013850523553215928,Increase
Elementary,City,Other,2017-18,2023-24,6.063070543460528e-4,2.456448033270589e-4,-3.606622510189939e-4,NA,-0.9034999444792627,Decrease
Other/Unknown,Unknown,Illicit Drug,2017-18,2023-24,0.0046395169010972825,0.0042820003058571645,-3.5751659524011804e-4,-0.07705901344072322,-0.08018998307880999,Decrease
Other/Unknown,City,Weapons,2017-18,2023-24,0.0017670993089825605,0.0014346767255756252,-3.3242258340693536e-4,-0.1881176579704135,-0.20839984829767197,Decrease
High,City,Weapons,2017-18,2023-24,0.001569352728333148,0.0012635668964823305,-3.0578583185081744e-4,-0.19484837686910633,-0.21672466758413506,Decrease
Middle,Rural,Illicit Drug,2017-18,2023-24,0.005381036880725145,0.0056752562436841346,2.9421936295898933e-4,0.05467707608785995,0.05323463105697892,Increase
Other/Unknown,Suburban,Illicit Drug,2017-18,2023-24,0.00739849396177535,0.007667717948622473,2.69223986847123e-4,0.03638902569064471,0.03574258077542566,Increase
Other/Unknown,Town,Other,2017-18,2023-24,0.0027023375219564923,0.0024389901034637877,-2.633474184927046e-4,-0.09745171221322535,-0.10253308573353383,Decrease
Other/Unknown,City,Violent (No Injury),2017-18,2023-24,0.025958538953630716,0.025702025614524195,-2.565133391065205e-4,-0.009881655495508658,-0.009930803094299773,Decrease
Alternative,Town,Weapons,2017-18,2023-24,0.0019100980516999872,0.0021618282890673254,2.5173023736733816e-4,0.1317891702697138,0.12379971709039743,Increase
Elementary,Suburban,Weapons,2017-18,2023-24,6.504830478554387e-4,4.035348699495462e-4,-2.4694817790589247e-4,NA,-0.47745233475060134,Decrease
Middle,City,Weapons,2017-18,2023-24,0.001690204326923077,0.0014784735963526401,-2.1173073057043686e-4,-0.12526931046016246,-0.1338392233825919,Decrease
Elementary,City,Violent (No Injury),2017-18,2023-24,0.006094725128627189,0.005892618944927006,-2.0210618370018318e-4,-0.03316083653237808,-0.033723122628585185,Decrease
Elementary,Suburban,Illicit Drug,2017-18,2023-24,1.7759899003947833e-4,3.7488150640283284e-4,1.972825163633545e-4,NA,0.7470818492842568,Increase
Other/Unknown,Suburban,Weapons,2017-18,2023-24,0.0018888620282806123,0.0016923529477474392,-1.965090805331731e-4,-0.10403569852693308,-0.10985470890687644,Decrease
Elementary,City,Weapons,2017-18,2023-24,4.6994884132043447e-4,2.770644874735432e-4,-1.928843538468913e-4,NA,-0.5283735546695655,Decrease
Elementary,Rural,Illicit Drug,2017-18,2023-24,5.867094861660079e-4,4.107563393395038e-4,-1.759531468265041e-4,NA,-0.3565295941137713,Decrease
High,Town,Weapons,2017-18,2023-24,0.002734531195583474,0.002583157305372458,-1.513738902110158e-4,-0.05535643201127086,-0.05694759936893228,Decrease
Elementary,City,Violent (Injury),2017-18,2023-24,0.002452012866371386,0.0023107749522277986,-1.4123791414358744e-4,-0.057600804661599725,-0.059326319928133246,Decrease
