level_strict3,locale_simple,academic_year,year_fct,n_races,max_rate,min_rate,spread_abs,spread_ratio,p90_rate,p10_rate,spread_9010,cv
Elementary,Rural,2022-23,2022-23,8,0.13898305084745763,0,0.13898305084745763,NA,0.0704015398599155,0.0015987818804720218,0.06880275797944348,1.3293028484360407
Elementary,Rural,2023-24,2023-24,8,0.08445945945945946,0,0.08445945945945946,NA,0.059022048364153624,7.327285415212843e-4,0.05828931982263234,1.03928014543511
Elementary,Suburban,2017-18,2017-18,8,0.08276625399688448,0.0037895007279266936,0.07897675326895778,21.84093893608181,0.07205209842128757,0.0038856441149336014,0.06816645430635397,1.0426110743461303
Elementary,Suburban,2018-19,2018-19,8,0.08103007171916286,0.003854767852528211,0.07717530386663465,21.020739722631546,0.07815517536190271,0.004699274046907239,0.07345590131499546,1.0641142873956568
Elementary,Suburban,2019-20,2019-20,8,0.05702692089532702,0.0021101992966002345,0.054916721598726785,27.024424179841084,0.05356640960193144,0.0032730126469647496,0.050293396954966686,1.1170797243444968
Elementary,Suburban,2021-22,2021-22,8,0.059639116967402525,0.0022759968221931163,0.05736312014520941,26.20351504266828,0.03362207216887243,0.0023117583226760345,0.0313103138461964,1.0648914509102125
Elementary,Suburban,2022-23,2022-23,8,0.0636319612590799,0,0.0636319612590799,NA,0.03151562388068254,0.002234600964113552,0.029281022916568988,1.1908727835186255
Elementary,Suburban,2023-24,2023-24,8,0.06446425961116796,0.0036900369003690036,0.06077422271079896,17.469814354626518,0.03242464432154239,0.004419978973045044,0.028004665348497347,1.1086295116857687
Elementary,Town,2017-18,2017-18,8,0.16595744680851063,0,0.16595744680851063,NA,0.14806537973791745,0,0.14806537973791745,1.0155421621829603
Elementary,Town,2018-19,2018-19,8,0.13333333333333333,0,0.13333333333333333,NA,0.13302013422818793,0.003357314148681056,0.12966282007950686,0.8806823448940192
Elementary,Town,2019-20,2019-20,8,0.07692307692307693,0,0.07692307692307693,NA,0.0642951971885982,0,0.0642951971885982,0.949076954473955
Elementary,Town,2021-22,2021-22,8,0.09921875,0,0.09921875,NA,0.08223938811844078,0,0.08223938811844078,1.0364658172487735
Elementary,Town,2022-23,2022-23,8,0.1910931174089069,0,0.1910931174089069,NA,0.1488110482916882,0.009589041095890413,0.1392220071957978,1.016858549860319
Elementary,Town,2023-24,2023-24,8,0.17244367417677642,0,0.17244367417677642,NA,0.16117935632469416,0,0.16117935632469416,1.0569541308161086
Elementary,Unknown,2017-18,2017-18,7,0.13176895306859207,0,0.13176895306859207,NA,0.10413615265600829,0.006779661016949153,0.09735649163905913,0.9037299865845918
Elementary,Unknown,2018-19,2018-19,7,0.10894495412844037,0,0.10894495412844037,NA,0.06298974635725853,0.009526228883525976,0.053463517473732555,1.0454476564701818
Elementary,Unknown,2019-20,2019-20,6,0.0608,0,0.0608,NA,0.04260865704772475,0,0.04260865704772475,1.295126902115821
Elementary,Unknown,2021-22,2021-22,6,0.021148036253776436,0,0.021148036253776436,NA,0.014740684793554885,0,0.014740684793554885,1.091480666746269
